Mat_MatCode,METHOD,Analyte,Component,Res_Units,Numeric_Result,Low_Release_Limit,High_Release_Limit,Rounding_Rule,SP_TestPlan
2AA284SLI,TM143,Lid Inspection,Label Width,in,,1.8125,1.9375,"FDA,4",Lid_01B
2AA284SLI,TM143,Lid Inspection,Label Length,in,,3.6675,3.7925,"FDA,4",Lid_01B
2AA284SLI,TM208,Lid Inspection,Appearance,,Appearance Material is clean and free of particulate matter. ,,,,Lid_01B
2AA284SLI,COA,Certificate of Analysis,Certificate of Compliance,,CofC meets specifications,,,,Lid_01B
2AA284SLI,TM208,Lid Inspection,Color/Copy,,Copy/color is in accordance with the item # print specification,,,,Lid_01B
2AA284SLI,TM208,Lid Inspection,Print,,"No smears, streaks, spots, or voids",,,,Lid_01B
2AA284SLI,TM208,Lid Inspection,Odor,,No solvent odor is present,,,,Lid_01B
2AA347,TM143,Web Inspection,Web Width,in,,10.1875,10.3125,"FDA,4",Web_NP8550_10.25
2AA347,TM 101,Basis Weight,Basis Weight,#/Ream,,37.8,48.2,"FDA,1",Web_NP8550_10.25
2AA347,AQL,Web Inspection,AQL Sample Size,,,0,,"FDA,0",Web_NP8550_10.25
2AA347,COA,Web Inspection,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8550_10.25
2AA347,TM208,Visual Inspection,Artwork / Copy,,Sample(s) all meet specifications,,,,Web_NP8550_10.25
2AA347,TM107,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),g/in,,3500,,"FDA,0",Web_NP8550_10.25
2AA592,TM132,Web Thickness,Web Thickness ,mil,,3.2,3.9,"FDA,1",Web_NP8504_11.0
2AA592,TM143,Web Measurement,Web Width,in,,10.9375,11.0625,"FDA,4",Web_NP8504_11.0
2AA592,Dyne,Dyne Level,Dyne Level (outside film),,,36,38,"FDA,0",Web_NP8504_11.0
2AA592,TM 101,Basis Weight,Basis Weight,#/Ream,,53.3,65.1,"FDA,1",Web_NP8504_11.0
2AA592,TM107,Seal Strength,Seal Strength (350°F/30psi/0.5 dwell Top Jaw),g/in,,2700,,"FDA,0",Web_NP8504_11.0
2AA592,COA,Certificate of Analysis,Certificate of Analysis,,CofA meets specifications,,,,Web_NP8504_11.0
2AA592SLI,TM143,Lid Inspection,Lid Wall Thickness,in,,0.025,0.035,"FDA,3",Lid_NY_NP7600_22R1
2AA592SLI,TM143,Lid Inspection,Overall closed lid height,in,,0.355,0.385,"FDA,3",Lid_NY_NP7600_22R1
2AA592SLI,TM143,Lid Inspection,Label Width,in,,1.8125,1.9375,"FDA,4",Lid_NY_NP7600_22R1
2AA592SLI,TM143,Lid Inspection,Label Length,in,,3.6675,3.7925,"FDA,4",Lid_NY_NP7600_22R1
2AA592SLI,TM143,Lid Inspection,Open Lid Overall Width,in,,4.351,4.401,"FDA,3",Lid_NY_NP7600_22R1
2AA592SLI,TM143,Lid Inspection,Weight,g,,10.5,12.5,"FDA,1",Lid_NY_NP7600_22R1
2AA592SLI,TM208,Lid Inspection,Appearance,,Appearance Material is clean and free of particulate matter. ,,,,Lid_NY_NP7600_22R1
2AA592SLI,COA,Certificate of Analysis,Certificate of Compliance,,CofC meets specifications,,,,Lid_NY_NP7600_22R1
2AA592SLI,TM208,Lid Inspection,Color/Copy,,Copy/color is in accordance with the item # print specification,,,,Lid_NY_NP7600_22R1
2AA592SLI,TM208,Lid Inspection,Lid Functionality,,Meet specification,,,,Lid_NY_NP7600_22R1
2AA592SLI,TM208,Lid Inspection,Color,,Meets the specification,,,,Lid_NY_NP7600_22R1
2AA592SLI,TM208,Lid Inspection,Print,,"No smears, streaks, spots, or voids",,,,Lid_NY_NP7600_22R1
