TesPlan,Res_TestName,Analyte,Numeric_Result,Res_Units,Rounding_Rule,Low_Release_Limit,High_Release_Limit,METHOD
4OP22701/BL_NY_L'Oreal Garnier Micellar Water,% Phenoxyethanol & IPBC,IPBC,,%,"FDA,3",0.006,0.011,TM 397
4OP22701/BL_NY_L'Oreal Garnier Micellar Water,% Phenoxyethanol & IPBC,IPBC Final,,%,"FDA,3",0.006,0.011,TM 397
4OP07501/BL_NY_L'Oreal Paris - Revitalift  MUR,% Phenoxyethanol & IPBC,IPBC,,%,"FDA,3",0.006,0.011,TM 397
4OP07501/BL_NY_L'Oreal Paris - Revitalift  MUR,% Phenoxyethanol & IPBC,IPBC Final,,%,"FDA,3",0.006,0.011,TM 397
4OP70501/BL_NY_L'Oreal Paris - Revitalift  MUR,% Phenoxyethanol & IPBC,IPBC Final,,%,"FDA,3",0.006,0.011,TM 397
4OP70501/BL_NY_L'Oreal Paris - Revitalift  MUR,% Phenoxyethanol & IPBC,IPBC,,%,"FDA,3",0.006,0.011,TM 397
4OP08701/BL_NY_Cetaphil Gentle MUR,% Phenoxyethanol & IPBC,IPBC,,%,"FDA,3",0.01,0.017,TM 397
4OP08701/BL_NY_Cetaphil Gentle MUR,% Phenoxyethanol & IPBC,IPBC Final,,%,"FDA,3",0.01,0.017,TM 397
4OP11301/BL_NY_L'Oreal Garnier Refreshing MUR,% Phenoxyethanol & IPBC,IPBC Final,,%,"FDA,3",0.009,0.016,TM 397
4OP11301/BL_NY_L'Oreal Garnier Refreshing MUR,% Phenoxyethanol & IPBC,IPBC,,%,"FDA,3",0.009,0.016,TM 397
4BJ14101/BL_MedWipe_01A,% Bronopol & IPBC,IPBC_Final,,%,"FDA,3",0.01,0.02,TM 321
4BJ14101/BL_MedWipe_01A,% Bronopol & IPBC,IPBC,,%,"FDA,3",0.01,0.02,TM 321
4CA81001/BL_MedWipe_03A,% Bronopol & IPBC,IPBC,,%,"FDA,3",0.01,0.026,TM 321
4CA81001/BL_MedWipe_03A,% Bronopol & IPBC,IPBC_Final,,%,"FDA,3",0.01,0.026,TM 321
4BJ14101/BL_NY_Pond's Luminous Clean MUR_02,% Bronopol & IPBC,IPBC,,%,"FDA,3",0.01,0.02,TM 321
4AD23901/BL_Baby_01A,% Bronopol & IPBC,IPBC,,%,"FDA,3",0.01,0.023,TM 321
4AD23901/BL_Baby_01A,% Bronopol & IPBC,IPBC_Final,,%,"FDA,3",0.01,0.023,TM 321
4OJ12301/BL_NY_Cetaphil_01B,% Propylparaben,Final Propylparaben,,%,"FDA,3",0.02,0.028,TM 396
4OJ12301/BL_NY_Cetaphil_01B,% Propylparaben,Propylparaben,,%,"FDA,3",0.02,0.028,TM 396
4OJ12301/BL_Sani_01B,% Propylparaben,Propylparaben,,%,"FDA,3",0.02,0.028,TM 396
4CP30801/BL_NY_Aveeno MUR_01,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid,,%,"FDA,3",0.031,0.043,J&J TM-003725
4CP30801/BL_NY_Aveeno MUR_01,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid_Final,,%,"FDA,3",0.031,0.043,J&J TM-003725
4OP80601/BL_NEUT_05B,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid_Final,,%,"FDA,3",0.029,0.041,J&J TM-003725
4OP80601/BL_NEUT_05B,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid,,%,"FDA,3",0.029,0.041,J&J TM-003725
4CP21101/BL_NY_Neut MUR_01,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid,,%,"FDA,3",0.031,0.042,TM 882
4CP21101/BL_NY_Neut MUR_01,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid_Final,,%,"FDA,3",0.031,0.042,TM 882
4CP60101/BL_NY_Neut Hydrating_01,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid,,%,"FDA,3",0.031,0.042,TM 882
4CP60101/BL_NY_Neut Hydrating_01,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid_Final,,%,"FDA,3",0.031,0.042,TM 882
4OP63001/BL_NEUT_05C,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid,,%,"FDA,3",0.029,0.041,J&J TM-003725
4OP63001/BL_NEUT_05C,% Benzoic Acid & Phenoxyethanol,Benzoic_Acid_Final,,%,"FDA,3",0.029,0.041,J&J TM-003725
4OM30401/BL_NY_BackSpin Wipe_03,% BTC 1210 (w/w),% BTC 1210 (w/w),,%,"FDA,3",0.049,0.059,NPTM 3005/2000
4CU12501/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben,,% w/w,"FDA,3",0.04,0.06,TM 321C
4CU12501/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben_Final,,% w/w,"FDA,3",0.04,0.06,TM 321C
4DA16001/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben,,% w/w,"FDA,3",0.04,0.06,TM 321C
4DA16001/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben_Final,,% w/w,"FDA,3",0.04,0.06,TM 321C
4OA70901/BL_NY_MedWipe_04AA,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben,,% w/w,"FDA,3",0.04,0.06,TM 321 (C)
4OA70901/BL_NY_MedWipe_04AA,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben_Final,,% w/w,"FDA,3",0.04,0.06,TM 321 (C)
4AA27601/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben,,% w/w,"FDA,3",0.04,0.06,TM 321C
4AA27601/BL_MedWipe_04A,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben_Final,,% w/w,"FDA,3",0.04,0.06,TM 321C
4CU12501/BL_NY_MedWipe_04AA,% Diazolidinyl Urea & Methylparaben & Propylparabe,Propylparaben,,% w/w,"FDA,3",0.04,0.06,TM 321 (C)
