Mat_MatCode,SP_TestPlan,PLAN.ACTIVE,ITEM_DESCRIPTION,Test_Lab,Res_TestCode,Res_TestName,Analyte.C,Numeric_Result,Res_Units,Rounding_Rule,Low_Release_Limit,High_Release_Limit,METHOD,METHOD.C,DISPLAY_AS,Facility Name,FACILITY_DESCRIPTION,SAMPLE_PLAN
7L4OP027,Chem_NY_Menthol USP,7L4OP027\Chem_NY_Menthol USP,Menthol USP,NY-Analytical,863,Specific Rotation,Specific Rotation,-49.9,°,"FDA,0",-51,-45,USP,USP,7L4OP027 - Menthol USP,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
3OA347,"Applicator_NY_Nonwoven Rolls Dispersable Unembossed- 6"" width - 65 gsm","3OA347\Applicator_NY_Nonwoven Rolls Dispersable Unembossed- 6"" width - 65 gsm","Nonwoven Rolls Dispersible Unembossed - 6"" Width-65 GSM",NY-Analytical,884,Applicator_Inspection,Ratio: Wet MD / Wet CD ,0,,"FDA,1",,4.5,See Analyte for Method #,See_Analyte_for_Method,"3OA347 - Nonwoven Rolls Dispersible Unembossed - 6"" Width-65 GSM",NY ,RAW MATERIAL - NY                                 ,RM_APPLICATOR
3OA347,Microbiologu - Bioburden_Applicator_NY,3OA347\Microbiologu - Bioburden_Applicator_NY,"Nonwoven Rolls Dispersible Unembossed - 6"" Width-65 GSM",NY-Analytical,884,Applicator_Inspection,Ratio: Wet MD / Wet CD ,0,,"FDA,1",,4.5,See Analyte for Method #,See_Analyte_for_Method,"3OA347 - Nonwoven Rolls Dispersible Unembossed - 6"" Width-65 GSM",NY ,RAW MATERIAL - NY                                 ,RM_APPLICATOR
7A4OB339,Chem_NY_Isopropyl alcohol 99% USP-Inline,7A4OB339\Chem_NY_Isopropyl alcohol 99% USP-Inline,Isopropyl Alcohol 99% USP-Inline,NY-Analytical,795,Acidity,Titrant Start Volume ,0,mL,"FDA,2",,,TM 375,TM375,7A4OB339 - Isopropyl Alcohol 99% USP-Inline,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7A4OB339,Chem_NY_Isopropyl alcohol 99% USP-Inline,7A4OB339\Chem_NY_Isopropyl alcohol 99% USP-Inline,Isopropyl Alcohol 99% USP-Inline,NY-Analytical,797,Nonvolatile Residue,Nonvolatile Residue,0,%,"FDA,3",,0.005,TM 226,TM226,7A4OB339 - Isopropyl Alcohol 99% USP-Inline,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7A4OB339,Chem_NY_Isopropyl alcohol 99% USP-Inline,7A4OB339\Chem_NY_Isopropyl alcohol 99% USP-Inline,Isopropyl Alcohol 99% USP-Inline,NY-Analytical,797,Nonvolatile Residue,Nonvolatile Residue Final,0,%,"FDA,3",,0.005,TM 226,TM226,7A4OB339 - Isopropyl Alcohol 99% USP-Inline,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7A4OB339,Chem_NY_Isopropyl alcohol 99% USP-Inline,7A4OB339\Chem_NY_Isopropyl alcohol 99% USP-Inline,Isopropyl Alcohol 99% USP-Inline,NY-Analytical,797,Nonvolatile Residue,Weight of Residue,0,g,"FDA,4",,,TM 226,TM226,7A4OB339 - Isopropyl Alcohol 99% USP-Inline,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7A4OK459,Chem_NY_Salicylic Acid USP,7A4OK459\Chem_NY_Salicylic Acid USP,CHE Salicylic Acid USP,NY-Analytical,816,Related Compounds,Impurity,0,%,"FDA,4",,0.05,USP,USP,7A4OK459 - CHE Salicylic Acid USP,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7A4OK459,Chem_NY_Salicylic Acid USP,7A4OK459\Chem_NY_Salicylic Acid USP,CHE Salicylic Acid USP,NY-Analytical,816,Related Compounds,Phenol,0,%,"FDA,4",,0.01,USP,USP,7A4OK459 - CHE Salicylic Acid USP,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7A4OP806,MASTER - Microbiology - J&J Chemical Testing),7A4OP806\MASTER - Microbiology - J&J Chemical Testing),ACt. ipone Lamina,NY-Analytical,825,Limit of Ethylene Glycol and Diethylene Glycol,Diethylene Glycol,0,%,"FDA,2",,0.1,USP,USP,7A4OP806 - ACt. ipone Lamina,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7A4OP806,MASTER - Microbiology - J&J Chemical Testing),7A4OP806\MASTER - Microbiology - J&J Chemical Testing),ACt. ipone Lamina,NY-Analytical,825,Limit of Ethylene Glycol and Diethylene Glycol,Ethylene Glycol,0,%,"FDA,2",,0.1,USP,USP,7A4OP806 - ACt. ipone Lamina,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7A4OS407,Chem_NY_Solumed Isopropyl Alcohol 99% USP,7A4OS407\Chem_NY_Solumed Isopropyl Alcohol 99% USP,Solumed Isopropyl Alcohol 99% USP,NY-Analytical,797,Nonvolatile Residue,Nonvolatile Residue,0,%,"FDA,3",,0.005,USP,USP,7A4OS407 - Solumed Isopropyl Alcohol 99% USP,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7B4OQ794,Chem_NY_Disodium EDTA-USP,7B4OQ794\Chem_NY_Disodium EDTA-USP,Disodium Edta-USP,NY-Analytical,842,Nitrilotriacetic Acid,Nitrilotriacetic Acid,0,%,"FDA,1",,0.1,USP,USP,7B4OQ794 - Disodium Edta-USP,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7L4OP203,Chem_NY_Glycerin - RI-0420,7L4OP203\Chem_NY_Glycerin - RI-0420,Glycerin - Ri-0420,NY-Analytical,825,Limit of Ethylene Glycol and Diethylene Glycol,Diethylene Glycol,0,%,"FDA,1",,0.1,USP,USP,7L4OP203 - Glycerin - Ri-0420,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7L4OP203,Chem_NY_Glycerin - RI-0420,7L4OP203\Chem_NY_Glycerin - RI-0420,Glycerin - Ri-0420,NY-Analytical,825,Limit of Ethylene Glycol and Diethylene Glycol,Ethylene Glycol,0,%,"FDA,1",,0.1,USP,USP,7L4OP203 - Glycerin - Ri-0420,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7O4OS407,Chem_173A,7O4OS407\Chem_173A,"20% Chlorhexidine Gluconate Solution pH. Eur., Bp",NY-Analytical,812,Organic Impurites,p-Chloroaniline,0,ug/mL,"FDA,0",,100,USP,USP,"7O4OS407 - 20% Chlorhexidine Gluconate Solution pH. Eur., Bp",NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7O4OS407,Chem_173A,7O4OS407\Chem_173A,"20% Chlorhexidine Gluconate Solution pH. Eur., Bp",NY-Analytical,812,Organic Impurites,p-Chloroaniline Final,0,ug/mL,"FDA,0",,100,USP,USP,"7O4OS407 - 20% Chlorhexidine Gluconate Solution pH. Eur., Bp",NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7O4OS407,Chem_173A,7O4OS407\Chem_173A,"20% Chlorhexidine Gluconate Solution pH. Eur., Bp",NY-Analytical,975,Organic Impurities Part II,p-Chlorophenvl urea,0,%,"FDA,1",,0.2,USP,USP,"7O4OS407 - 20% Chlorhexidine Gluconate Solution pH. Eur., Bp",NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7O4OS407,Chem_173A,7O4OS407\Chem_173A,"20% Chlorhexidine Gluconate Solution pH. Eur., Bp",NY-Analytical,975,Organic Impurities Part II,RRT of p-Chlorophenvl urea,0,,"FDA,2",,,USP,USP,"7O4OS407 - 20% Chlorhexidine Gluconate Solution pH. Eur., Bp",NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7O4OU225,Chem_NY_Sodium Hypochlorite 12.5%,7O4OU225\Chem_NY_Sodium Hypochlorite 12.5%,Sodium Hypochlorite 12.5%,NY-Analytical,807,% NaOCl,Titrant Start Volume ,0,mL,"FDA,1",,,TM 366,TM366,7O4OU225 - Sodium Hypochlorite 12.5%,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
7A4OS407,Chem_NY_Solumed Isopropyl Alcohol 99% USP,7A4OS407\Chem_NY_Solumed Isopropyl Alcohol 99% USP,Solumed Isopropyl Alcohol 99% USP,NY-Analytical,797,Nonvolatile Residue,Weight of Residue,0.0004,g,"FDA,4",,,USP,USP,7A4OS407 - Solumed Isopropyl Alcohol 99% USP,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
5OD125PB,Box_80A,5OD125PB\Box_80A,Bag Wet Nap 8.25 X 6.5 X 2,NY-Analytical,772,Box Inspection,Caliper,0.0005,in,"FDA,4",0.0005,0.0025,Box Inspection,Box Inspection,5OD125PB - Bag Wet Nap 8.25 X 6.5 X 2,NY ,RAW MATERIAL - NY                                 ,RM_BOX
7A4OS407,Chem_NY_Solumed Isopropyl Alcohol 99% USP,7A4OS407\Chem_NY_Solumed Isopropyl Alcohol 99% USP,Solumed Isopropyl Alcohol 99% USP,NY-Analytical,797,Nonvolatile Residue,Nonvolatile Residue Final,0.0008,%,"FDA,3",,0.005,USP,USP,7A4OS407 - Solumed Isopropyl Alcohol 99% USP,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
5HB59800,Box_NY_0.0018LDPE_407_12-5.5-5-4,5HB59800\Box_NY_0.0018LDPE_407_12-5.5-5-4,PDI EleCt. rode Prep Pad,NY-Analytical,772,Box Inspection,Caliper,0.001,in,"FDA,4",0.0008,0.0028,Box Inspection,Box Inspection,5HB59800 - PDI EleCt. rode Prep Pad,NY ,RAW MATERIAL - NY                                 ,RM_BOX
5OH382PD,Box_50D,5OH382PD\Box_50D,"Pad 11-5/8""X 9-1/2"" Gr-182",NY-Analytical,772,Box Inspection,Caliper,0.0018,in,"FDA,3",,,Box Inspection,Box Inspection,"5OH382PD - Pad 11-5/8""X 9-1/2"" Gr-182",NY ,RAW MATERIAL - NY                                 ,RM_BOX
7J4OP485,Chem_NY_Butylene Glycol_7J4OP485,7J4OP485\Chem_NY_Butylene Glycol_7J4OP485,Butylene Glycol,NY-Analytical,795,Acidity,Acidity as Acetic Acid(10ml burette 0.05ml subdiv),0.002,%,"FDA,3",,0.005,J&J TM-003589,J&J,7J4OP485 - Butylene Glycol,NY ,RAW MATERIAL - NY                                 ,RM_CHEMICAL
3OD438,Applicator_NY_35 gsm Unembossed Nonwoven,3OD438\Applicator_NY_35 gsm Unembossed Nonwoven,Unembossed Nonwoven 35 GSM,NY-Analytical,884,Applicator_Inspection,Caliper,0.0077,in,"FDA,4",0.006,0.0087,See Analyte for Method #,See_Analyte_for_Method,3OD438 - Unembossed Nonwoven 35 GSM,NY ,RAW MATERIAL - NY                                 ,RM_APPLICATOR
3OP134,"Applicator_NY_35gsm Stora Flat - 30""","3OP134\Applicator_NY_35gsm Stora Flat - 30""","Stora Flat - 30"" 35 GSM",NY-Analytical,757,Caliper,Caliper,0.0079,in,,,,TM 102,TM102,"3OP134 - Stora Flat - 30"" 35 GSM",NY ,RAW MATERIAL - NY                                 ,RM_APPLICATOR
