Mat_MatCode,SP_TestPlan,Test_Lab,Analyte,Component,Numeric_Result,Res_Units,Rounding_Rule,Low_Release_Limit,High_Release_Limit,METHOD
2AA284SLI,Lid_01B,NY-Analytical,Lid Inspection,Label Width,,in,"FDA,4",1.8125,1.9375,TM143
2AA284SLI,Lid_01B,NY-Analytical,Lid Inspection,Label Length,,in,"FDA,4",3.6675,3.7925,TM143
2AA284SLI,Lid_01B,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2AA284SLI,Lid_01B,NY-Analytical,Certificate of Compliance,Certificate of Compliance,CofC meets specifications (Done),,,,,COA
2AA284SLI,Lid_01B,NY-Analytical,Lid Inspection,Color/Copy,Copy/color is in accordance with the item # print specification (Done),,,,,TM208
2AA284SLI,Lid_01B,NY-Analytical,Lid Inspection,Print,"No smears, streaks, spots, or voids (Done)",,,,,TM208
2AA284SLI,Lid_01B,NY-Analytical,Lid Inspection,Odor,No solvent odor is present (Done),,,,,TM208
2AA347,Web_NP8550_10.25,NY-Analytical,Web Inspection,Web Width,,in,"FDA,4",10.1875,10.3125,TM143
2AA347,Web_NP8550_10.25,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,1",37.8,48.2,TM 101
2AA347,Web_NP8550_10.25,NY-Analytical,Web Inspection,AQL Sample Size,,,"FDA,0",0,,AQL
2AA347,Web_NP8550_10.25,NY-Analytical,Web Inspection,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AA347,Web_NP8550_10.25,NY-Analytical,Visual Inspection,Artwork / Copy,Sample(s) all meet specifications (Done),,,,,TM208
2AA347,Web_NP8550_10.25,NY-Analytical,Seal Strength,Seal Strength (300°F/30psi/1.5 sec dwell),,g/in,"FDA,0",3500,,TM107
2AA592,Web_NP8504_11.0,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,1",3.2,3.9,TM 132
2AA592,Web_NP8504_11.0,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",10.9375,11.0625,TM143
2AA592,Web_NP8504_11.0,NY-Analytical,Dyne Level,Dyne Level (outside film),,,"FDA,0",36,38,Dyne
2AA592,Web_NP8504_11.0,NY-Analytical,Basis Weight,Basis Weight,,#/Ream,"FDA,1",53.3,65.1,TM 101
2AA592,Web_NP8504_11.0,NY-Analytical,Seal Strength,Seal Strength (350°F/30psi/0.5 dwell Top Jaw),,g/in,"FDA,0",2700,,TM107
2AA592,Web_NP8504_11.0,NY-Analytical,Certificate of Analysis,Certificate of Analysis,CofA meets specifications (Done),,,,,COA
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Lid Inspection,Lid Wall Thickness,,in,"FDA,3",0.025,0.035,TM143
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Lid Inspection,Overall closed lid height,,in,"FDA,3",0.355,0.385,Solo Lid Inspection
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Lid Inspection,Label Width,,in,"FDA,4",1.8125,1.9375,TM143
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Lid Inspection,Label Length,,in,"FDA,4",3.6675,3.7925,TM143
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Lid Inspection,Open Lid Overall Width,,in,"FDA,3",4.351,4.401,Solo Lid Inspection
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Lid Inspection,Weight,,g,"FDA,1",10.5,12.5,TM143
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Lid Inspection,Appearance,Appearance Material is clean and free of particulate matter.  (Done),,,,,TM208
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Certificate of Compliance,Certificate of Compliance,CofC meets specifications (Done),,,,,COA
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Lid Inspection,Color/Copy,Copy/color is in accordance with the item # print specification (Done),,,,,TM208
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Lid Inspection,Functionality,Meet specification (Done),,,,,TM208
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Lid Inspection,Color,Meets the specification (Done),,,,,TM208
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Lid Inspection,Print,"No smears, streaks, spots, or voids (Done)",,,,,TM208
2AA592SLI,Lid_NY_NP7600_22R1,NY-Analytical,Lid Inspection,Odor,No solvent odor is present (Done),,,,,TM208
2AA632,Web_NP8504_11.75,NY-Analytical,Web Thickness,Web Thickness ,,mil,"FDA,1",3.2,3.9,TM 132
2AA632,Web_NP8504_11.75,NY-Analytical,Web Measurement,Web Width,,in,"FDA,4",11.6875,11.8125,TM143
